Node,Pod Status,Best PDQ,AIC
Node_0,Running,"(1, 0, 2)",148.04912551111133
Node_0,Pending,"(0, 0, 2)",144.52924359460127
Node_0,Succeeded,"(2, 0, 1)",153.8840093773174
Node_0,Failed,"(1, 0, 1)",168.53214605770816
Node_0,Unknown,"(1, 0, 0)",150.7202525333411
Node_1,Running,"(1, 0, 0)",134.1225175483726
Node_1,Pending,"(1, 0, 0)",97.51875949694694
Node_1,Succeeded,"(0, 0, 1)",109.27019530562688
Node_1,Failed,"(0, 0, 1)",185.85029208839268
Node_1,Unknown,"(0, 0, 1)",133.47713389504872
Node_2,Running,"(1, 0, 2)",126.61839615862891
Node_2,Pending,"(2, 0, 0)",146.27270867362057
Node_2,Succeeded,"(1, 0, 2)",131.55596870561695
Node_2,Failed,"(0, 0, 2)",153.35978915860275
Node_2,Unknown,"(1, 0, 0)",172.30541927501525
Node_3,Running,"(1, 0, 0)",147.10160762378592
Node_3,Pending,"(0, 0, 1)",185.11179571610757
Node_3,Succeeded,"(1, 0, 0)",167.41249661013285
Node_3,Failed,"(1, 0, 0)",185.8433939111389
Node_3,Unknown,"(1, 0, 0)",40.051587784887765
Node_4,Running,"(0, 0, 1)",140.3312289985453
Node_4,Pending,"(0, 0, 1)",144.17126025338126
Node_4,Succeeded,"(1, 0, 1)",152.698159779263
Node_4,Failed,"(0, 0, 1)",176.40125554009623
Node_4,Unknown,"(1, 0, 1)",175.03217748525003
Node_5,Running,"(1, 0, 0)",157.71157641397906
Node_5,Pending,"(1, 0, 0)",184.07541246152886
Node_5,Succeeded,"(1, 0, 0)",177.62546233255796
Node_5,Failed,"(0, 0, 1)",101.18071762055692
Node_5,Unknown,"(1, 0, 0)",144.6108930343567
Node_6,Running,"(1, 0, 0)",154.46868204494098
Node_6,Pending,"(1, 0, 0)",167.64488558045437
Node_6,Succeeded,"(0, 0, 1)",173.48156847384632
Node_6,Failed,"(1, 0, 0)",95.72005268158165
Node_6,Unknown,"(0, 0, 1)",145.74904162628007
Node_7,Running,"(1, 0, 0)",143.15106079691148
Node_7,Pending,"(0, 0, 1)",72.98800924075553
Node_7,Succeeded,"(0, 0, 2)",168.13066901250744
Node_7,Failed,"(2, 0, 2)",114.63983576768743
Node_7,Unknown,"(1, 0, 2)",150.64066554239602
Node_8,Running,"(1, 0, 0)",140.29913254299
Node_8,Pending,"(1, 0, 0)",191.19982026652062
Node_8,Succeeded,"(2, 0, 2)",126.77700527873529
Node_8,Failed,"(0, 0, 2)",122.35827269725738
Node_8,Unknown,"(1, 0, 0)",137.84542949061907
Node_9,Running,"(1, 0, 0)",103.9302379794913
Node_9,Pending,"(1, 0, 0)",181.778686670689
Node_9,Succeeded,"(0, 0, 1)",130.94768280969512
Node_9,Failed,"(1, 0, 2)",182.73253343178473
Node_9,Unknown,"(1, 0, 0)",101.46202867376469
Node_10,Running,"(0, 0, 1)",83.89426699430568
Node_10,Pending,"(0, 0, 1)",160.67403683749
Node_10,Succeeded,"(0, 0, 2)",160.88484154392265
Node_10,Failed,"(1, 0, 0)",172.7834510010747
Node_10,Unknown,"(2, 0, 0)",164.67518675916642
Node_11,Running,"(0, 0, 1)",115.63505241088964
Node_11,Pending,"(2, 2, 2)",22.98025425565717
Node_11,Succeeded,"(1, 0, 0)",158.1610858372162
Node_11,Failed,"(0, 0, 1)",136.85636946635205
Node_11,Unknown,"(2, 0, 2)",154.99048832967202
Node_12,Running,"(1, 0, 0)",195.41423913466025
Node_12,Pending,"(0, 0, 2)",93.26936152237995
Node_12,Succeeded,"(2, 0, 0)",157.01151110721736
Node_12,Failed,"(1, 0, 0)",170.2366836976014
Node_12,Unknown,"(1, 0, 2)",39.92895835789004
Node_13,Running,"(1, 0, 0)",167.11296158898654
Node_13,Pending,"(0, 0, 1)",183.97795121407154
Node_13,Succeeded,"(0, 0, 2)",171.69219081156552
Node_13,Failed,"(0, 0, 1)",134.17863547571625
Node_13,Unknown,"(1, 0, 1)",90.04481609604292
Node_14,Running,"(0, 0, 1)",122.19104262891014
Node_14,Pending,"(1, 0, 0)",178.05759609112573
Node_14,Succeeded,"(1, 0, 0)",169.07044013565584
Node_14,Failed,"(0, 0, 1)",119.17685590532737
Node_14,Unknown,"(0, 0, 1)",157.16604039640953
Node_15,Running,"(2, 0, 1)",149.20081963825834
Node_15,Pending,"(1, 0, 0)",111.84501100448978
Node_15,Succeeded,"(0, 0, 1)",203.0848970212101
Node_15,Failed,"(1, 0, 0)",136.95488220876334
Node_15,Unknown,"(1, 0, 0)",130.10467463887628
Node_16,Running,"(1, 0, 0)",170.4025769063578
Node_16,Pending,"(2, 0, 1)",93.50447833637864
Node_16,Succeeded,"(1, 0, 0)",196.60389707808062
Node_16,Failed,"(1, 0, 0)",79.7537322850875
Node_16,Unknown,"(1, 1, 1)",178.10519077700772
Node_17,Running,"(2, 0, 1)",122.32840560017118
Node_17,Pending,"(1, 0, 2)",200.58854268829757
Node_17,Succeeded,"(1, 0, 0)",143.0783939807502
Node_17,Failed,"(2, 0, 1)",199.67510755159017
Node_17,Unknown,"(1, 0, 1)",151.14451881095508
Node_18,Running,"(0, 0, 1)",150.10061375968002
Node_18,Pending,"(1, 0, 0)",142.2120768022467
Node_18,Succeeded,"(0, 0, 1)",182.25722863340587
Node_18,Failed,"(0, 1, 2)",134.32125638825426
Node_18,Unknown,"(1, 0, 0)",153.15546892952636
Node_19,Running,"(1, 0, 1)",188.71736458351074
Node_19,Pending,"(1, 0, 1)",137.20355867000166
Node_19,Succeeded,"(0, 0, 1)",108.00880433210168
Node_19,Failed,"(1, 0, 0)",175.87707368648577
Node_19,Unknown,"(0, 0, 1)",190.3724963514863
Node_20,Running,"(0, 0, 1)",116.29932692564083
Node_20,Pending,"(0, 0, 1)",101.79361683075535
Node_20,Succeeded,"(2, 0, 1)",215.14787445859753
Node_20,Failed,"(0, 0, 1)",206.9288159729229
Node_20,Unknown,"(1, 0, 0)",151.25888611909272
Node_21,Running,"(0, 0, 1)",120.95478181587656
Node_21,Pending,"(0, 0, 1)",128.66700195111886
Node_21,Succeeded,"(2, 0, 0)",147.65708537438704
Node_21,Failed,"(2, 2, 2)",10.0
Node_21,Unknown,"(0, 0, 1)",175.25069101043275
Node_22,Running,"(1, 0, 0)",150.30935093395436
Node_22,Pending,"(0, 0, 1)",213.2483255720732
Node_22,Succeeded,"(0, 0, 1)",155.46287595530305
Node_22,Failed,"(1, 0, 0)",205.21996161971936
Node_22,Unknown,"(0, 0, 1)",131.19575383307287
Node_23,Running,"(1, 0, 0)",199.29715058964206
Node_23,Pending,"(0, 0, 1)",148.18699278210687
Node_23,Succeeded,"(2, 0, 2)",157.6115315573923
Node_23,Failed,"(1, 0, 1)",103.56739485245211
Node_23,Unknown,"(0, 0, 1)",115.21502790119658
Node_24,Running,"(1, 0, 0)",172.08942148467733
Node_24,Pending,"(1, 0, 2)",143.26226644083135
Node_24,Succeeded,"(1, 0, 0)",140.17675174619075
Node_24,Failed,"(1, 0, 0)",129.55593504256996
Node_24,Unknown,"(2, 0, 0)",119.44152131973358
Node_25,Running,"(1, 0, 0)",139.0167953893022
Node_25,Pending,"(1, 0, 0)",126.52987187364494
Node_25,Succeeded,"(1, 0, 0)",207.18173417023246
Node_25,Failed,"(2, 0, 1)",54.950618155089565
Node_25,Unknown,"(2, 2, 2)",90.45885603265691
Node_26,Running,"(2, 2, 2)",30.290330273839334
Node_26,Pending,"(2, 0, 1)",109.80429346190147
Node_26,Succeeded,"(2, 0, 1)",92.51299615162986
Node_26,Failed,"(0, 0, 2)",112.05260485064174
Node_26,Unknown,"(2, 0, 1)",205.55390148015678
Node_27,Running,"(2, 0, 1)",118.03141727981016
Node_27,Pending,"(1, 0, 0)",153.0430249609047
Node_27,Succeeded,"(0, 0, 1)",150.98829461916398
Node_27,Failed,"(1, 0, 0)",201.28655203834714
Node_27,Unknown,"(1, 0, 0)",154.7553097536923
Node_28,Running,"(1, 0, 0)",151.5908036658279
Node_28,Pending,"(2, 0, 2)",163.9282081405404
Node_28,Succeeded,"(1, 0, 0)",198.43670639239417
Node_28,Failed,"(1, 0, 0)",90.21002324625869
Node_28,Unknown,"(0, 0, 1)",155.13166458731632
Node_29,Running,"(2, 0, 2)",136.90704232595328
Node_29,Pending,"(1, 0, 0)",176.9100245070219
Node_29,Succeeded,"(2, 0, 1)",161.28551461686118
Node_29,Failed,"(0, 0, 1)",202.60795214981792
Node_29,Unknown,"(1, 0, 0)",100.52468446306946
Node_30,Running,"(1, 0, 0)",117.15649585923914
Node_30,Pending,"(1, 0, 0)",77.63649158730624
Node_30,Succeeded,"(1, 0, 0)",105.74623184151206
Node_30,Failed,"(0, 0, 1)",168.64617857050274
Node_30,Unknown,"(1, 0, 0)",180.4494896085199
Node_31,Running,"(1, 0, 0)",200.3918767649139
Node_31,Pending,"(1, 0, 0)",128.7914085586421
Node_31,Succeeded,"(0, 0, 1)",142.3971977551107
Node_31,Failed,"(0, 0, 1)",124.16868978223366
Node_31,Unknown,"(1, 0, 1)",135.414149945168
Node_32,Running,"(1, 0, 0)",131.29295479381324
Node_32,Pending,"(1, 0, 2)",157.51661402727626
Node_32,Succeeded,"(2, 0, 1)",69.07889031125298
Node_32,Failed,"(1, 0, 0)",157.94056264041922
Node_32,Unknown,"(1, 0, 0)",153.8668848351282
Node_33,Running,"(0, 0, 1)",175.26421127007697
Node_33,Pending,"(1, 0, 0)",109.66921811962547
Node_33,Succeeded,"(1, 0, 0)",168.8364682271394
Node_33,Failed,"(0, 0, 1)",172.51269385207698
Node_33,Unknown,"(0, 0, 2)",166.2177863338491
Node_34,Running,"(0, 0, 2)",174.6976802316949
Node_34,Pending,"(0, 0, 1)",99.08666518738187
Node_34,Succeeded,"(1, 0, 1)",127.0935611093006
Node_34,Failed,"(1, 0, 0)",83.51659231739998
Node_34,Unknown,"(1, 0, 0)",137.18254490322215
Node_35,Running,"(1, 0, 2)",126.40191695456815
Node_35,Pending,"(1, 0, 2)",108.49808192089182
Node_35,Succeeded,"(1, 0, 0)",154.20696872983365
Node_35,Failed,"(1, 0, 0)",165.44765063390975
Node_35,Unknown,"(0, 0, 1)",159.67903409767268
Node_36,Running,"(1, 0, 1)",154.68437010252035
Node_36,Pending,"(2, 0, 0)",104.17297997088059
Node_36,Succeeded,"(0, 0, 1)",144.97603501446247
Node_36,Failed,"(0, 0, 1)",166.79496094329596
Node_36,Unknown,"(1, 0, 0)",185.5136596182894
Node_37,Running,"(1, 0, 0)",157.85370764439642
Node_37,Pending,"(1, 0, 0)",89.2947538318709
Node_37,Succeeded,"(2, 0, 1)",138.10822649252702
Node_37,Failed,"(1, 0, 0)",194.7519501548289
Node_37,Unknown,"(1, 0, 0)",100.68015481675542
Node_38,Running,"(0, 0, 1)",151.33267323801246
Node_38,Pending,"(0, 0, 1)",168.4112912545477
Node_38,Succeeded,"(0, 0, 1)",155.40872445108923
Node_38,Failed,"(1, 0, 2)",81.80565688678446
Node_38,Unknown,"(1, 0, 0)",146.2774273380868
Node_39,Running,"(1, 0, 0)",83.52385699215495
Node_39,Pending,"(1, 0, 0)",170.56136590433306
Node_39,Succeeded,"(1, 0, 0)",218.82095742378456
Node_39,Failed,"(1, 0, 0)",230.40057065428692
Node_39,Unknown,"(2, 0, 2)",5.1394399935653485
Node_40,Running,"(1, 0, 0)",156.5632728432701
Node_40,Pending,"(0, 0, 1)",158.58588115177835
Node_40,Succeeded,"(1, 0, 1)",158.48647912742808
Node_40,Failed,"(1, 0, 0)",139.93710745337788
Node_40,Unknown,"(1, 0, 0)",207.43314950158123
Node_41,Running,"(1, 0, 0)",125.89758343742538
Node_41,Pending,"(1, 0, 0)",204.49627902301694
Node_41,Succeeded,"(0, 0, 1)",151.58436373627504
Node_41,Failed,"(2, 0, 2)",162.21009431409874
Node_41,Unknown,"(1, 0, 0)",148.87345389873173
Node_42,Running,"(0, 0, 1)",145.40827330289824
Node_42,Pending,"(1, 0, 0)",189.7495565454982
Node_42,Succeeded,"(1, 0, 0)",155.01396651244005
Node_42,Failed,"(1, 0, 0)",142.70271641834876
Node_42,Unknown,"(0, 0, 2)",104.38076236074976
Node_43,Running,"(1, 0, 0)",137.23716558985592
Node_43,Pending,"(2, 0, 2)",194.33179073592152
Node_43,Succeeded,"(2, 0, 1)",185.7208596665426
Node_43,Failed,"(1, 0, 0)",104.40788031495106
Node_43,Unknown,"(2, 0, 0)",192.5743401474615
Node_44,Running,"(1, 0, 0)",186.50391021706923
Node_44,Pending,"(0, 0, 2)",114.95371900259133
Node_44,Succeeded,"(1, 0, 0)",105.19762352967638
Node_44,Failed,"(1, 0, 0)",171.96049986434625
Node_44,Unknown,"(0, 0, 1)",136.28878697927416
Node_45,Running,"(1, 0, 0)",167.00699508086353
Node_45,Pending,"(1, 0, 0)",133.6816557022676
Node_45,Succeeded,"(1, 0, 1)",170.18782303832717
Node_45,Failed,"(1, 0, 0)",118.0402633183052
Node_45,Unknown,"(2, 0, 1)",114.99981134098395
Node_46,Running,"(2, 0, 1)",173.0166747794242
Node_46,Pending,"(0, 0, 1)",150.9459706400463
Node_46,Succeeded,"(0, 0, 2)",139.94533469881134
Node_46,Failed,"(1, 0, 1)",163.49374652623248
Node_46,Unknown,"(1, 0, 1)",70.45222114652194
Node_47,Running,"(1, 0, 0)",178.58835081580497
Node_47,Pending,"(0, 0, 1)",85.98860054388848
Node_47,Succeeded,"(0, 0, 1)",135.32101336825434
Node_47,Failed,"(1, 0, 2)",141.17154925781233
Node_47,Unknown,"(0, 0, 1)",205.46028625183737
Node_48,Running,"(1, 0, 2)",172.60300480080474
Node_48,Pending,"(0, 0, 1)",178.04467374429203
Node_48,Succeeded,"(0, 0, 1)",130.7183302087589
Node_48,Failed,"(0, 0, 1)",177.93679196797302
Node_48,Unknown,"(1, 0, 0)",61.15723620273652
Node_49,Running,"(1, 0, 0)",132.14219089311868
Node_49,Pending,"(1, 0, 0)",222.39069453367438
Node_49,Succeeded,"(2, 0, 1)",140.39947285196084
Node_49,Failed,"(1, 0, 0)",166.87016503021934
Node_49,Unknown,"(1, 0, 0)",189.95635895150383
